Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Prob Mov00,Prob Mov01,Prob Mov02,Prob Mov03,Prob Mov04
-0.7195,-0.0299,8.8909,-0.0045,0.0013,0.0352,27.4271,Mov00,Mov00,0.97316,0.007429,0.007916,0.005919,0.005576
-0.7147,-0.0395,8.8992,-0.004,0.0016,0.0354,27.43,Mov00,Mov00,0.973614,0.007356,0.007752,0.00581,0.005468
-0.7171,-0.0383,8.8969,-0.004,0.0019,0.0354,27.4271,Mov00,Mov00,0.973551,0.007387,0.007774,0.005824,0.005464
-0.7123,-0.0443,8.8897,-0.0043,0.0016,0.0357,27.4271,Mov00,Mov00,0.973483,0.007378,0.00777,0.005847,0.005522
-0.7099,-0.0467,8.8861,-0.0043,0.0011,0.0354,27.4271,Mov00,Mov00,0.973373,0.007394,0.007798,0.005871,0.005564
-0.7171,-0.0431,8.8897,-0.0043,0.0011,0.0352,27.43,Mov00,Mov00,0.973305,0.007419,0.007834,0.00589,0.005553
-0.7278,-0.0395,8.8909,-0.004,0.0008,0.0354,27.4359,Mov00,Mov00,0.973611,0.007302,0.007748,0.005857,0.005482
-0.7314,-0.0371,8.9016,-0.0043,0.0013,0.0357,27.4329,Mov00,Mov00,0.973698,0.007281,0.007729,0.005838,0.005454
-0.7302,-0.0347,8.8957,-0.004,0.0019,0.0354,27.43,Mov00,Mov00,0.973547,0.007378,0.007786,0.00585,0.00544
-0.7278,-0.0431,8.8849,-0.004,0.0013,0.0354,27.4271,Mov00,Mov00,0.973465,0.007387,0.007782,0.005879,0.005487
-0.7207,-0.0371,8.8992,-0.004,0.0011,0.0357,27.4271,Mov00,Mov00,0.973807,0.007245,0.007695,0.005799,0.005454
-0.7135,-0.0419,8.8945,-0.0035,0.0011,0.0357,27.43,Mov00,Mov00,0.973978,0.007233,0.007629,0.005749,0.00541
-0.7111,-0.0491,8.8897,-0.0035,0.0011,0.0357,27.4329,Mov00,Mov00,0.973914,0.00727,0.007627,0.005761,0.005428
-0.7123,-0.0443,8.8897,-0.0032,0.0013,0.0352,27.4359,Mov00,Mov00,0.973757,0.00736,0.007697,0.005774,0.005412
-0.7183,-0.0467,8.904,-0.0035,0.0019,0.0354,27.43,Mov00,Mov00,0.973898,0.007337,0.007649,0.005747,0.005369
-0.7147,-0.0419,8.9004,-0.0035,0.0019,0.0352,27.4241,Mov00,Mov00,0.973719,0.007389,0.007719,0.005772,0.005401
-0.7159,-0.0383,8.8957,-0.0037,0.0019,0.0357,27.43,Mov00,Mov00,0.973778,0.00732,0.007702,0.00578,0.00542
