Accel_x,Accel_y,Accel_z,w_x,w_y,w_z,true_label,pred_label_py,prob_Mov00_py,prob_Mov01_py,prob_Mov02_py,prob_Mov03_py,prob_Mov04_py
0.12,9.67,0.63,-0.01,0.04,0.03,Mov02,Mov02,0.024935277699995338,0.0010252758976243297,0.9338337556830131,0.021467841628155775,0.018737849091211508
0.21,9.59,0.58,-0.01,0.02,0.03,Mov02,Mov02,0.02745496278018369,0.000908806010367109,0.9246402945520674,0.02323379861604206,0.0237621380413398
0.17,9.59,0.52,0.02,0.01,0.02,Mov02,Mov02,0.03906713619136702,0.001048111773894145,0.9186550711638163,0.022638156682282983,0.01859152418863954
-9.41,0.0,-1.79,-0.01,0.0,0.03,Mov03,Mov03,0.019378050474226333,0.03007046890519287,0.032574872125604844,0.9165550522473503,0.0014215562476255505
-9.54,-0.24,-1.78,-0.01,-0.03,0.02,Mov03,Mov03,0.01738156531615213,0.024821937185573243,0.027646500212660116,0.9286463333811954,0.0015036639044192193
-9.45,-0.11,-1.86,-0.0,-0.02,0.02,Mov03,Mov03,0.019916630860323165,0.028976001343430507,0.030655578025144955,0.9190608512201518,0.001390938550949664
-9.42,-0.04,-1.91,-0.0,-0.0,0.04,Mov03,Mov03,0.024400639771136115,0.028015875770239364,0.029200530150451164,0.9170489038457873,0.0013340504623860173
-9.56,-0.02,-1.79,-0.0,-0.02,0.04,Mov03,Mov03,0.025917255578026367,0.020925674401529096,0.02630208162538784,0.9254882078246104,0.0013667805704462078
-9.44,-0.01,-1.8,-0.0,0.01,0.04,Mov03,Mov03,0.025463190774985676,0.03131799292745486,0.03067306970854731,0.9112941535688373,0.0012515930201750026
-9.48,-0.06,-1.85,-0.0,-0.01,0.04,Mov03,Mov03,0.025229959225694813,0.024561135097575626,0.027496065965095136,0.9213534185965071,0.001359421115127402
-9.7,-0.23,-1.73,0.0,0.01,0.03,Mov03,Mov03,0.02186824160716943,0.035778033540047105,0.028345138139821313,0.9129742204652779,0.0010343662476843915
-9.37,-0.04,-1.86,-0.0,0.01,0.03,Mov03,Mov03,0.022048131225776563,0.036713517346723436,0.033345592208416985,0.9066213881378036,0.001271371081279519
-9.46,-0.06,-1.81,0.01,-0.02,0.03,Mov03,Mov03,0.027600397077440938,0.026342540064471325,0.028690366517727557,0.9160528834371272,0.0013138129032329092
10.03,0.12,-0.25,-0.02,-0.0,0.04,Mov04,Mov04,0.014451174576288178,0.02201145153132234,0.02581076417857709,0.0011384852395013194,0.9365881244743111
9.96,0.0,-0.27,-0.01,0.01,0.05,Mov04,Mov04,0.02151358985607969,0.027081267697995712,0.0264813954282731,0.0013033181585585774,0.9236204288590929
9.96,0.14,-0.19,0.0,-0.01,0.05,Mov04,Mov04,0.026668824598323478,0.020645994421234288,0.024999752959106742,0.001263511158813939,0.9264219168625216
9.75,0.36,-0.04,-0.01,-0.01,0.07,Mov04,Mov04,0.029928007438983297,0.013216098935345005,0.022259989578673433,0.0012905677210033328,0.9333053363259949
10.03,0.06,-0.26,0.0,-0.0,0.03,Mov04,Mov04,0.02098088126816971,0.03340577475698303,0.0315028306115296,0.0013126499299937144,0.912797863433324
10.26,0.4,-0.1,-0.01,-0.04,0.06,Mov04,Mov04,0.019519462343085773,0.00769900054091614,0.016305404875016537,0.0008281298981593129,0.9556480023428222
9.97,0.06,-0.23,-0.01,-0.02,-0.0,Mov04,Mov04,0.011615413611775824,0.033650359240737775,0.03419810243279877,0.0012342957443986428,0.9193018289702889
9.95,0.09,-0.25,-0.01,0.01,0.04,Mov04,Mov04,0.019585690673744143,0.030572165490026042,0.030320961333119234,0.001331957909903455,0.9181892245932071
10.09,0.43,-0.12,0.01,-0.0,-0.0,Mov04,Mov04,0.02008290918431014,0.05031141674516046,0.05015224309330516,0.0013819981193240246,0.8780714328579001
10.03,0.18,-0.21,0.0,-0.02,0.02,Mov04,Mov04,0.01813308496755354,0.02649145311517504,0.03072900058543403,0.0012229131959435795,0.9234235481358939
