Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Resultado Inferencia
-1.3539,-0.0084,8.995,-0.0096,0.1471,0.0893,28.3476,Mov00,Mov00,0.996094
-1.3982,-0.0036,9.0513,-0.0088,0.0077,0.0711,28.3506,Mov00,Mov00,0.996094
-1.318,-0.0227,8.9615,-0.008,-0.0959,0.0485,28.3506,Mov00,Mov00,0.996094
-1.1612,0.018,8.91,-0.0069,-0.1335,0.0336,28.3535,Mov00,Mov00,0.996094
-1.063,0.0239,8.8514,-0.0064,-0.1114,0.0312,28.3624,Mov00,Mov00,0.996094
-1.0463,0.0204,8.831,-0.0059,-0.057,0.0322,28.3565,Mov00,Mov00,0.996094
-1.0977,0.0192,8.8801,-0.0048,-0.0203,0.0336,28.3565,Mov00,Mov00,0.996094
-1.1253,0.0239,8.9052,-0.0051,-0.028,0.0344,28.3565,Mov00,Mov00,0.996094
-1.0965,0.0275,8.9016,-0.0051,-0.037,0.0349,28.3506,Mov00,Mov00,0.996094
-1.0678,-0.0455,8.8681,-0.0053,-0.0258,0.0365,28.3476,Mov00,Mov00,0.996094
-1.0175,-0.2514,8.8274,-0.0085,0.0232,0.0653,28.3565,Mov00,Mov00,0.996094
-1.0439,-0.3364,8.8861,-0.0117,0.0546,0.0978,28.3653,Mov00,Mov00,0.996094
-1.1109,-0.2646,8.9136,-0.0125,0.0501,0.1037,28.3624,Mov00,Mov00,0.996094
-1.1564,0.0096,8.9136,-0.0088,0.0253,0.0762,28.3624,Mov00,Mov00,0.996094
-1.1492,0.3579,8.9136,-0.0064,-0.0029,0.0512,28.3594,Mov00,Mov00,0.996094
-1.1121,0.2478,8.8885,-0.0064,-0.0133,0.0461,28.3594,Mov00,Mov00,0.996094
-1.1037,0.1712,8.8753,-0.0056,-0.0029,0.0424,28.3535,Mov00,Mov00,0.996094
-1.1073,0.1221,8.8885,-0.0051,0.0019,0.04,28.3624,Mov00,Mov00,0.996094
-1.1037,0.091,8.8897,-0.0051,-0.004,0.0384,28.3682,Mov00,Mov00,0.996094
-1.1073,0.0634,8.8813,-0.0053,-0.0101,0.0376,28.3565,Mov00,Mov00,0.996094
-1.1061,0.0527,8.8753,-0.0053,-0.0123,0.0365,28.3565,Mov00,Mov00,0.996094
-1.0989,0.0419,8.8789,-0.0048,-0.0069,0.0365,28.3535,Mov00,Mov00,0.996094
-1.1061,0.0335,8.8765,-0.0045,-0.0016,0.0362,28.3653,Mov00,Mov00,0.996094
-1.1085,0.0299,8.8837,-0.0048,0.0021,0.036,28.3594,Mov00,Mov00,0.996094
-1.1073,0.0275,8.8897,-0.0048,0.0029,0.036,28.3653,Mov00,Mov00,0.996094
-1.1109,0.0204,8.8921,-0.0053,0.0016,0.036,28.3653,Mov00,Mov00,0.996094
-1.1049,0.0204,8.8969,-0.0048,0.0021,0.036,28.3682,Mov00,Mov00,0.996094
-1.1073,0.0192,8.8885,-0.0048,0.0027,0.036,28.3712,Mov00,Mov00,0.996094
-1.1133,0.018,8.8909,-0.0048,0.0005,0.0354,28.3682,Mov00,Mov00,0.996094
-1.1193,0.0168,8.8969,-0.0045,-0.0085,0.0354,28.3682,Mov00,Mov00,0.996094
-1.1408,-0.0048,8.8945,-0.0037,-0.0205,0.0293,28.3712,Mov00,Mov00,0.996094
-1.1109,0.012,8.9112,-0.0037,-0.0328,0.0269,28.3712,Mov00,Mov00,0.996094
-1.0846,0.0204,8.8909,-0.0043,-0.0397,0.0245,28.3741,Mov00,Mov00,0.996094
-1.0606,0.0192,8.8693,-0.0048,-0.0341,0.0272,28.3741,Mov00,Mov00,0.996094
-1.0499,0.0168,8.8573,-0.0045,-0.0179,0.0301,28.3741,Mov00,Mov00,0.996094
-1.0511,0.0192,8.8669,-0.0045,0.0019,0.0317,28.3771,Mov00,Mov00,0.996094
-1.0906,0.0239,8.91,-0.004,0.0016,0.0352,28.3594,Mov00,Mov00,0.996094
-1.0906,0.0192,8.8945,-0.0045,0.0,0.0352,28.3594,Mov00,Mov00,0.996094
-1.0846,0.0215,8.8945,-0.0043,-0.0011,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0774,0.018,8.8981,-0.0045,-0.0016,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0798,0.012,8.8885,-0.0043,0.0,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0762,0.012,8.9124,-0.0045,0.0027,0.0357,28.3771,Mov00,Mov00,0.996094
-1.081,0.0132,8.9088,-0.0048,0.0016,0.0354,28.3829,Mov00,Mov00,0.996094
-1.0798,0.0215,8.9064,-0.0045,0.0011,0.0352,28.3741,Mov00,Mov00,0.996094
-1.0846,0.018,8.8909,-0.0048,0.0013,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0858,0.0215,8.8957,-0.0045,0.0005,0.0354,28.3594,Mov00,Mov00,0.996094
-1.0894,0.0215,8.8933,-0.0045,0.0008,0.0352,28.3653,Mov00,Mov00,0.996094
-1.087,0.0227,8.8849,-0.004,0.0021,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0834,0.0204,8.8813,-0.0043,0.0013,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0846,0.0239,8.8873,-0.0045,0.0011,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0918,0.0263,8.8849,-0.0048,0.0003,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0953,0.0204,8.8885,-0.0045,0.0005,0.0352,28.3624,Mov00,Mov00,0.996094
-1.093,0.0227,8.8897,-0.0043,0.0,0.0352,28.3624,Mov00,Mov00,0.996094
-1.0834,0.0192,8.8921,-0.0045,-0.0008,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0798,0.0239,8.8909,-0.0045,0.0,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0822,0.0192,8.8933,-0.0043,0.0011,0.0354,28.3741,Mov00,Mov00,0.996094
-1.081,0.0168,8.8897,-0.0043,0.0016,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0894,0.0239,8.8897,-0.0045,0.0021,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0858,0.0251,8.8885,-0.0045,0.0013,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0858,0.0192,8.8837,-0.0048,0.0,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0834,0.0192,8.8861,-0.0048,-0.0005,0.0352,28.3741,Mov00,Mov00,0.996094
-1.0822,0.0144,8.8789,-0.0048,0.0008,0.0354,28.38,Mov00,Mov00,0.996094
-1.0858,0.0192,8.8777,-0.0045,0.0029,0.0354,28.3771,Mov00,Mov00,0.996094
-1.0953,0.0227,8.8789,-0.0045,0.0019,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0953,0.0263,8.8861,-0.0045,-0.0008,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0894,0.0227,8.8813,-0.0043,-0.0011,0.0354,28.3741,Mov00,Mov00,0.996094
-1.087,0.0192,8.8729,-0.0045,-0.0005,0.0354,28.3712,Mov00,Mov00,0.996094
-1.087,0.0132,8.8741,-0.0043,-0.0003,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0918,0.0132,8.8873,-0.004,0.0032,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0965,0.018,8.8837,-0.004,0.0027,0.0357,28.3653,Mov00,Mov00,0.996094
-1.0965,0.0227,8.8897,-0.004,-0.0008,0.0357,28.38,Mov00,Mov00,0.996094
-1.087,0.0132,8.8873,-0.0045,-0.0024,0.036,28.3741,Mov00,Mov00,0.996094
